               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.021498,            0.061916,             0.00598,             0.92614,             0.90164,             0.94314,             0.77564,            0.016196,            0.050476,           0.0053832,            0.007129,            0.007129,            0.007129
                  60,            0.021574,            0.061646,           0.0059838,             0.93302,             0.90886,             0.94585,             0.78678,            0.015664,            0.049809,           0.0053116,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021405,            0.060972,           0.0058165,             0.94347,               0.905,             0.94636,             0.78766,            0.015721,            0.050143,           0.0052647,             0.00703,             0.00703,             0.00703
                  62,            0.021309,            0.061154,           0.0058859,             0.94155,             0.90532,             0.95114,              0.7953,            0.015808,            0.049957,           0.0054293,           0.0069805,           0.0069805,           0.0069805
                  63,            0.021444,            0.061289,           0.0058318,             0.93816,             0.90569,             0.94785,             0.79092,            0.015597,             0.05071,           0.0053413,            0.006931,            0.006931,            0.006931
                  64,            0.021065,            0.060872,           0.0058779,             0.94177,             0.91376,             0.95342,             0.79244,            0.015466,            0.049687,           0.0053391,           0.0068815,           0.0068815,           0.0068815
                  65,            0.020872,             0.06022,           0.0059041,             0.93476,             0.91229,             0.95019,             0.79337,            0.015338,            0.050545,           0.0052176,            0.006832,            0.006832,            0.006832
                  66,            0.020925,            0.060037,           0.0057801,             0.93412,             0.90813,             0.95376,             0.79427,            0.015421,            0.049854,           0.0054244,           0.0067825,           0.0067825,           0.0067825
                  67,            0.020435,            0.059259,           0.0056348,              0.9481,             0.90862,             0.95497,             0.79926,            0.015036,            0.049746,           0.0050803,            0.006733,            0.006733,            0.006733
                  68,            0.020736,            0.060273,           0.0058031,             0.92967,              0.9212,             0.95401,             0.79719,            0.015025,            0.048743,           0.0051462,           0.0066835,           0.0066835,           0.0066835
                  69,            0.020769,            0.059851,            0.005597,             0.94326,              0.9026,             0.94946,             0.78848,            0.015278,            0.049842,           0.0051323,            0.006634,            0.006634,            0.006634
                  70,            0.020692,             0.06054,           0.0055554,             0.94123,             0.91172,             0.94971,             0.80061,            0.015067,            0.048549,           0.0050845,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020257,            0.059917,           0.0053426,              0.9476,             0.90197,             0.95238,              0.8058,             0.01496,            0.048483,           0.0051037,            0.006535,            0.006535,            0.006535
